"filename", "language", "JSON with Comments", "SCSS", "CSS", "JSON", "TypeScript JSX", "JavaScript", "XML", "Markdown", "comment", "blank", "total"
"d:\proyectos personales\my-clothing-store\.eslintrc.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\proyectos personales\my-clothing-store\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 20, 0, 15, 35
"d:\proyectos personales\my-clothing-store\components\header.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
"d:\proyectos personales\my-clothing-store\components\input_group.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 6, 27
"d:\proyectos personales\my-clothing-store\components\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"d:\proyectos personales\my-clothing-store\next.config.js", "JavaScript", 0, 0, 0, 0, 0, 5, 0, 0, 1, 2, 8
"d:\proyectos personales\my-clothing-store\package-lock.json", "JSON", 0, 0, 0, 3977, 0, 0, 0, 0, 0, 1, 3978
"d:\proyectos personales\my-clothing-store\package.json", "JSON", 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 27
"d:\proyectos personales\my-clothing-store\pages\_app.js", "JavaScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 3, 8
"d:\proyectos personales\my-clothing-store\pages\api\hello.js", "JavaScript", 0, 0, 0, 0, 0, 3, 0, 0, 1, 2, 6
"d:\proyectos personales\my-clothing-store\pages\clothets\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\proyectos personales\my-clothing-store\pages\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"d:\proyectos personales\my-clothing-store\pages\login\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 19
"d:\proyectos personales\my-clothing-store\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"d:\proyectos personales\my-clothing-store\styles\Home.module.css", "CSS", 0, 0, 112, 0, 0, 0, 0, 0, 0, 18, 130
"d:\proyectos personales\my-clothing-store\styles\components\header.module.scss", "SCSS", 0, 93, 0, 0, 0, 0, 0, 0, 0, 8, 101
"d:\proyectos personales\my-clothing-store\styles\components\input_group.module.scss", "SCSS", 0, 30, 0, 0, 0, 0, 0, 0, 0, 2, 32
"d:\proyectos personales\my-clothing-store\styles\globals.css", "CSS", 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"d:\proyectos personales\my-clothing-store\styles\layout.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\proyectos personales\my-clothing-store\styles\login.module.scss", "SCSS", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 14
"d:\proyectos personales\my-clothing-store\tsconfig.json", "JSON with Comments", 29, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
"Total", "-", 32, 137, 135, 4003, 91, 13, 4, 20, 2, 79, 4516
